case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
fixed-count,random,0,100,9001,write,5,weak,13035.4,1048582,1048582,1048580,164,2,4,0.0120482,,,
fixed-count,random,0,100,9001,write,6,weak,13177.7,1048583,1048583,1048580,164,3,4,0.0179641,,,
fixed-count,random,0,100,9001,write,7,weak,13133.6,1048584,1048584,1048580,164,4,4,0.0238095,,,
fixed-count,random,0,100,9001,write,8,weak,12063.9,1048585,1048585,1048584,168,1,4,0.00591716,,,
fixed-count,random,0,100,9001,write,9,weak,10552.8,1048586,1048586,1048584,168,2,4,0.0117647,,,
fixed-count,random,0,100,9001,write,10,weak,11044.6,1048587,1048587,1048584,168,3,4,0.0175439,,,
fixed-count,random,0,100,9001,write,11,weak,11495.2,1048588,1048588,1048584,168,4,4,0.0232558,,,
fixed-count,random,0,100,9001,write,12,weak,13593.5,1048589,1048589,1048588,172,1,4,0.00578035,,,
fixed-count,random,0,100,9001,write,13,weak,13122,1048590,1048590,1048588,172,2,4,0.0114943,,,
fixed-count,random,0,100,9001,write,14,weak,12893.5,1048591,1048591,1048588,172,3,4,0.0171429,,,
fixed-count,random,0,100,9001,write,15,weak,12311.9,1048592,1048592,1048588,172,4,4,0.0227273,,,
fixed-count,random,0,100,9001,write,16,weak,11952,1048593,1048593,1048592,176,1,4,0.00564972,,,
fixed-count,random,0,100,9001,write,17,weak,12546.9,1048594,1048594,1048592,176,2,4,0.011236,,,
fixed-count,random,0,100,9001,write,18,weak,12589.7,1048595,1048595,1048592,176,3,4,0.0167598,,,
fixed-count,random,0,100,9001,write,19,weak,13163.9,1048596,1048596,1048592,176,4,4,0.0222222,,,
fixed-count,random,0,100,9001,write,20,weak,14035.9,1048597,1048597,1048596,180,1,4,0.00552486,,,
fixed-count,random,0,100,9001,write,21,weak,16094,1048598,1048598,1048596,180,2,4,0.010989,,,
fixed-count,random,0,100,9001,write,22,weak,16044.8,1048599,1048599,1048596,180,3,4,0.0163934,,,
fixed-count,random,0,100,9001,write,23,weak,15753.6,1048600,1048600,1048596,180,4,4,0.0217391,,,
