case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
strict-hot,hot,11,4,159.582,22989.2,34537.1,34703.4,0,0,0,7757.38,45.8545,18918.4,29389.9,171.52,1.48,2,2,0.2,12,13,13,0,76.5994,1.92308,12,0,0,3.36677,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,11,4,483.488,6116.75,11043.8,14130.8,0,0,0,5439.42,28.5625,5140.63,8431.09,168.32,4.68,9,9,0.0486486,2,3,3,0,38.679,8.33333,2,0,0,0.674404,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,11,4,490.572,6155.25,11317.7,11376.4,0,0,0,7151.12,26.062,6231.9,9279.56,168.32,4.68,9,9,0.0486486,2,3,3,0,39.2457,8.33333,2,0,0,4.22203,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-hot-guard,hot,11,4,153.407,3612.17,5318.03,5464.91,29799.2,33610.4,34912,1146.92,39.646,27137.5,29369.3,173.8,0.4,4,9,0.0243902,22,22,22,0,134.998,1.13636,16,0,0,2.84158,1,5.538,0,0,0,0,0,0,1,1,1
fixed-time,random,11,4,294.542,12427,19730.6,20750.2,0,0,0,1165.5,56.354,138.791,25318.2,170.92,2.08,4,1638,0.0243902,7,8,8,0,82.4718,3.125,0,8,0,0.852217,0,-1,0,0,0,0,0,0,1,1,1
stable-group,random,11,4,306.863,0,0,0,10859.1,14862.9,14878.8,1188.17,39.354,11150.4,13032.1,174.44,0,0,0,0.4,7,7,7,0,85.9215,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,11,4,250.77,12538.3,24567.7,25585.4,0,0,0,5894.25,35.688,11684.2,18525.3,170.56,2.44,4,4,0.0243902,6,7,7,0,60.1848,3.57143,6,0,0,1.14398,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,11,4,169.362,23411.9,33067.7,35377.8,0,0,0,5742.33,53.2085,18623.8,30864.2,171.52,1.48,2,2,0.2,12,13,13,0,81.2937,1.92308,12,0,0,1.70075,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,12,4,221.376,17453.3,22810.6,23057.5,0,0,0,6132.42,50.084,2965.03,13415.6,171.52,1.48,2,2,0.2,12,13,13,0,106.261,1.92308,12,0,0,3.49615,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,12,4,310.423,0,0,0,11788.1,12905.4,12914.1,1170.46,48.3545,10010.4,10461.7,174.44,0,0,0,0.4,7,7,7,0,86.9183,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,12,4,288.667,12613.9,21112,24926.4,0,0,0,1158.71,48.542,99.2016,62702,170.92,2.08,4,1638,0.0243902,7,8,8,0,80.8268,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,12,4,451.535,8834.5,11274.8,13262.6,0,0,0,6709.58,42.542,7086.72,12095.1,168.32,4.68,9,9,0.0486486,2,3,3,0,36.1228,8.33333,2,0,0,0.760372,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,12,4,237.053,16810.1,19718.7,19808,0,0,0,7233.21,37.729,15040,17917.1,171.52,1.48,2,2,0.2,12,13,13,0,113.786,1.92308,12,0,0,0.632248,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,12,4,344.778,11175,14181.9,14302.9,0,0,0,6114.75,44.1245,4769.27,11212.1,170.56,2.44,4,4,0.0243902,6,7,7,0,82.7468,3.57143,6,0,0,0.521299,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,12,4,116.323,4062.83,5650.33,5788.2,34752.7,54572,54588.1,1157.75,34.3955,34815.5,51299.5,173.8,0.4,4,9,0.0243902,22,22,22,0,102.365,1.13636,16,0,0,2.7033,1,5.905,0,0,0,0,0,0,1,1,1
exchange-hot,hot,12,4,498.974,6053.38,11559.6,11615.9,0,0,0,6286.75,36.9165,7938.69,10337.8,168.32,4.68,9,9,0.0486486,2,3,3,0,39.9179,8.33333,2,0,0,4.24594,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,13,4,508.615,6320.92,11435,11453,0,0,0,4815.88,27.354,7034.72,10383.8,168.32,4.68,9,9,0.0486486,2,3,3,0,40.6892,8.33333,2,0,0,1.15292,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
stable-group,random,13,4,318.604,0,0,0,10943.2,12750.3,12758.8,1152.83,32.979,10252.4,10710.9,174.44,0,0,0,0.4,7,7,7,0,89.2092,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,13,4,268.208,14872.5,16812.5,16846,0,0,0,7790.38,27.5205,14234.1,15345.7,171.52,1.48,2,2,0.2,12,13,13,0,128.74,1.92308,12,0,0,3.84754,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,13,4,334.258,10822.3,14497.7,15805.9,0,0,0,5946.12,32.7705,9871.42,13675.9,170.56,2.44,4,4,0.0243902,6,7,7,0,80.222,3.57143,6,0,0,1.17397,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,13,4,352.327,10305.8,15608.5,18311.5,0,0,0,1156.46,38.604,112.592,52264.3,170.92,2.08,4,1638,0.0243902,7,8,8,0,98.6516,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,13,4,112.62,4463.98,6144.32,6288.73,33413.7,56637.7,56648.2,1168.75,44.375,29762.5,47617,173.8,0.4,4,9,0.0243902,22,22,22,0,99.1059,1.13636,16,0,0,2.53086,1,6.685,0,0,0,0,0,0,1,1,1
exchange-hot,hot,13,4,496.258,6194.08,12649.7,12874.3,0,0,0,6016.17,37.1245,5198.18,9919.06,168.32,4.68,9,9,0.0486486,2,3,3,0,39.7006,8.33333,2,0,0,4.24925,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,13,4,202.227,16009.8,32936.4,35194.3,0,0,0,7289.5,32.708,19223.6,29492.9,171.52,1.48,2,2,0.2,12,13,13,0,97.0689,1.92308,12,0,0,1.67939,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,14,4,293.819,12634.9,20148.5,21265.1,0,0,0,1176.5,43.3125,112.292,64790.4,170.92,2.08,4,1638,0.0243902,7,8,8,0,82.2692,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,14,4,221.626,16775.1,20696.1,21771,0,0,0,9042.92,46.333,14740.9,16685.4,171.52,1.48,2,2,0.2,12,13,13,0,106.381,1.92308,12,0,0,3.3626,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,14,4,343.782,11581,13748.2,14063.6,0,0,0,6107.83,12.5625,7290.22,12690.4,170.56,2.44,4,4,0.0243902,6,7,7,0,82.5076,3.57143,6,0,0,1.04016,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,14,4,546.726,5613.21,11123.6,11161.8,0,0,0,6771.21,11.9585,4360,8114.55,168.32,4.68,9,9,0.0486486,2,3,3,0,43.7381,8.33333,2,0,0,4.21228,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-hot-guard,hot,14,4,176.266,3313.6,4855.42,4993.08,23656.8,36706,37870,1141.96,11.3335,21483,30067.9,173.8,0.4,4,9,0.0243902,22,22,22,0,155.114,1.13636,16,0,0,2.84158,1,5.063,0,0,0,0,0,0,1,1,1
exchange-random,random,14,4,524.509,6091.83,12544.2,12952,0,0,0,6712.71,9.8545,5347.25,8172.41,168.32,4.68,9,9,0.0486486,2,3,3,0,41.9607,8.33333,2,0,0,0.919309,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,14,4,226.715,16852.9,22095.2,22596.3,0,0,0,6204.12,38.4585,15329,19596.8,171.52,1.48,2,2,0.2,12,13,13,0,108.823,1.92308,12,0,0,1.07661,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,14,4,285.539,0,0,0,11920.6,14859.6,14889.4,1140.38,43.7915,12090.1,13657.6,174.44,0,0,0,0.4,7,7,7,0,79.9509,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,15,4,365.842,9989.04,17827.1,18562.7,0,0,0,1169.88,48.25,131.183,40019.7,170.92,2.08,4,1638,0.0243902,7,8,8,0,102.436,3.125,0,8,0,0.858491,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,15,4,348.622,10933.5,14418.9,14622.5,0,0,0,6963.17,43.604,9688.35,12887.8,170.56,2.44,4,4,0.0243902,6,7,7,0,83.6692,3.57143,6,0,0,0.909646,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,15,4,237.707,14960.2,20953.7,21112.3,0,0,0,6624.58,30.5415,17276.1,19789.7,171.52,1.48,2,2,0.2,12,13,13,0,114.099,1.92308,12,0,0,3.87337,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,15,4,161.5,21235.1,42342.6,45758.3,0,0,0,6995.21,44.271,25033.7,36599.5,171.52,1.48,2,2,0.2,12,13,13,0,77.52,1.92308,12,0,0,0.414949,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,15,4,130.098,3851.83,7555.9,7950.61,37828.8,42527.6,42532,1148.21,56.4165,30443.4,39440.8,173.8,0.4,4,9,0.0243902,22,22,22,0,114.487,1.13636,16,0,0,2.7033,1,8.183,0,0,0,0,0,0,1,1,1
stable-group,random,15,4,236.56,0,0,0,12337.6,20775.8,20783.8,1153.92,54.7085,15004.4,19864.2,174.44,0,0,0,0.4,7,7,7,0,66.2367,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,15,4,422.893,8227.88,12957.4,13378.5,0,0,0,6461.08,45.729,5202.92,11332.3,168.32,4.68,9,9,0.0486486,2,3,3,0,33.8315,8.33333,2,0,0,1.02764,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,15,4,420.987,6089.08,17622.7,17699.1,0,0,0,6578.38,34.2705,9021.84,15877.8,168.32,4.68,9,9,0.0486486,2,3,3,0,33.679,8.33333,2,0,0,4.23326,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,16,4,477.858,5827.79,13276.6,13501.5,0,0,0,5511.21,47.0415,7478.91,11621.1,168.32,4.68,9,9,0.0486486,2,3,3,0,38.2286,8.33333,2,0,0,0.834274,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
strict-hot,hot,16,4,227.337,17043.2,20140.1,21059.1,0,0,0,8033.92,35.2085,16658.1,18692.4,171.52,1.48,2,2,0.2,12,13,13,0,109.122,1.92308,12,0,0,3.77262,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,16,4,410.627,8030.79,16018.6,16804.4,0,0,0,5824.54,58.75,6069.93,12501.7,168.32,4.68,9,9,0.0486486,2,3,3,0,32.8502,8.33333,2,0,0,4.28681,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
fixed-count,random,16,4,347.513,10882.2,14143.1,14411.4,0,0,0,6515.29,36.0835,8810.3,12587.9,170.56,2.44,4,4,0.0243902,6,7,7,0,83.4031,3.57143,6,0,0,0.930774,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,16,4,331.73,10471.2,16169.5,19818.8,0,0,0,1168.54,40.3125,88.9401,3162.77,170.92,2.08,4,1638,0.0243902,7,8,8,0,92.8843,3.125,0,8,0,0.803922,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,16,4,104.323,3240.69,5032.8,5188.79,43857.5,52840.8,52848.4,1165.25,47.396,38011.2,48270.8,173.8,0.4,4,9,0.0243902,22,22,22,0,91.8042,1.13636,16,0,0,2.53086,1,5.505,0,0,0,0,0,0,1,1,1
strict-random,random,16,4,192.681,18297.1,26106.5,27437.3,0,0,0,8042.33,43.4785,17281,18393.1,171.52,1.48,2,2,0.2,12,13,13,0,92.4868,1.92308,12,0,0,1.11099,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,16,4,299.2,0,0,0,10865,16022,16027.3,1151.96,31.979,9688.21,10425.3,174.44,0,0,0,0.4,7,7,7,0,83.7761,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,17,4,477.031,6491.12,11453.4,11466.3,0,0,0,6642.58,36.667,2586.38,8776.99,168.32,4.68,9,9,0.0486486,2,3,3,0,38.1624,8.33333,2,0,0,4.25195,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
fixed-count,random,17,4,283.992,12931.6,16622.8,19040.2,0,0,0,6312.12,40.958,11717.4,13917.3,170.56,2.44,4,4,0.0243902,6,7,7,0,68.158,3.57143,6,0,0,0.911762,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,17,4,210.049,15849.3,30752.9,31839.6,0,0,0,1168.88,32.9375,75.3545,94.7483,170.92,2.08,4,1638,0.0243902,7,8,8,0,58.8137,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,17,4,251.291,15775.9,17123.1,18388.2,0,0,0,12042,29.125,14946.4,15558,171.52,1.48,2,2,0.2,12,13,13,0,120.62,1.92308,12,0,0,3.64609,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,17,4,115.393,3845,5709.92,5876.02,37705.2,54790.1,54810.7,978.459,42.7495,14274,38805.4,173.8,0.4,4,9,0.0243902,22,22,22,0,101.546,1.13636,16,0,0,2.7033,1,6.038,0,0,0,0,0,0,1,1,1
stable-group,random,17,4,298.873,0,0,0,12750.4,13432,13434,1168.62,43.688,11771.1,12083.2,174.44,0,0,0,0.4,7,7,7,0,83.6844,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,17,4,174.458,18812,37200.9,37830.9,0,0,0,8390.79,50.5,3890.7,10696.3,171.52,1.48,2,2,0.2,12,13,13,0,83.7399,1.92308,12,0,0,1.27778,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,17,4,423.582,6797.71,16464.3,17717.6,0,0,0,5743,47.75,5611.93,9165.84,168.32,4.68,9,9,0.0486486,2,3,3,0,33.8865,8.33333,2,0,0,1.37336,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
stable-group,random,18,4,247.688,0,0,0,14530.2,22950.5,22961.2,1187.54,56.9165,12019.9,14460.4,174.44,0,0,0,0.4,7,7,7,0,69.3527,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,18,4,177.237,18735.2,32950.4,36789.3,0,0,0,6754.25,51.625,17105.6,27322.7,171.52,1.48,2,2,0.2,12,13,13,0,85.0735,1.92308,12,0,0,3.78936,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,18,4,97.1608,3199.38,4881.24,5026.88,46676.8,62585.8,62590.8,1164.17,38.9585,42990.1,50080.2,173.8,0.4,4,9,0.0243902,22,22,22,0,85.5015,1.13636,16,0,0,2.53086,1,5.331,0,0,0,0,0,0,1,1,1
exchange-hot,hot,18,4,504.638,6474.79,11022.4,11611.3,0,0,0,6957.58,44.334,80.7146,6890.9,168.32,4.68,9,9,0.0486486,2,3,3,0,40.371,8.33333,2,0,0,4.23684,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,18,4,480.527,5855.88,12800.6,13149.4,0,0,0,5921.96,40.625,7050.85,11381.7,168.32,4.68,9,9,0.0486486,2,3,3,0,38.4422,8.33333,2,0,0,1.3728,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
fixed-time,random,18,4,323.601,12020.6,17095.1,18141.4,0,0,0,1152.75,33.25,53.0272,52309.1,170.92,2.08,4,1638,0.0243902,7,8,8,0,90.6081,3.125,0,8,0,0.860465,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,18,4,354.345,10868.9,11971.9,12378.2,0,0,0,7537.5,47.334,8042.56,10090.1,170.56,2.44,4,4,0.0243902,6,7,7,0,85.0428,3.57143,6,0,0,1.20444,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,18,4,221.902,17738.9,20786.2,21356.5,0,0,0,6887.62,43.417,17208.6,17667.7,171.52,1.48,2,2,0.2,12,13,13,0,106.513,1.92308,12,0,0,0.628769,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,19,4,376.977,10172.6,15898.7,16357.7,0,0,0,1171.54,33.604,55.225,48451.1,170.92,2.08,4,1638,0.0243902,7,8,8,0,105.553,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,19,4,224.998,17540.4,20724.6,22526.6,0,0,0,6997.42,29.833,17107.5,21318.6,171.52,1.48,2,2,0.2,12,13,13,0,107.999,1.92308,12,0,0,1.71869,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,19,4,218.917,16808,18611.1,18752,0,0,0,6318.42,40.0835,16373.4,17552.8,171.52,1.48,2,2,0.2,12,13,13,0,105.08,1.92308,12,0,0,3.93593,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,19,4,533.283,5754.46,10591.5,10652.2,0,0,0,6318.5,29.292,6749.34,9713.24,168.32,4.68,9,9,0.0486486,2,3,3,0,42.6626,8.33333,2,0,0,1.47523,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
exchange-hot,hot,19,4,521.791,6206.04,11860.6,12230.7,0,0,0,6132.21,30.854,6930.47,9900.49,168.32,4.68,9,9,0.0486486,2,3,3,0,41.7433,8.33333,2,0,0,4.23326,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
stable-group,random,19,4,291.126,0,0,0,11490.3,16779.8,16939,1099.12,37.458,11549.1,13565.6,174.44,0,0,0,0.4,7,7,7,0,81.5154,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,19,4,158.485,3391.92,4924.07,5059.85,27788.4,32533.4,33698.2,1158.12,43.375,27580.3,29433,173.8,0.4,4,9,0.0243902,22,22,22,0,139.466,1.13636,16,0,0,2.53086,1,5.15,0,0,0,0,0,0,1,1,1
fixed-count,random,19,4,331.06,11666.7,15193.3,15662.4,0,0,0,5677.92,35.4585,10896.9,13352.8,170.56,2.44,4,4,0.0243902,6,7,7,0,79.4544,3.57143,6,0,0,1.30523,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,20,4,129.936,3599.85,5216.35,5361.2,32741.1,52879.6,52881.9,1167.12,38.6255,29935.1,46228.8,173.8,0.4,4,9,0.0243902,22,22,22,0,114.344,1.13636,16,0,0,2.7033,1,5.484,0,0,0,0,0,0,1,1,1
fixed-count,random,20,4,302.453,11604.9,21403.5,21734.6,0,0,0,5898.21,35.042,7529.33,17857,170.56,2.44,4,4,0.0243902,6,7,7,0,72.5887,3.57143,6,0,0,0.782647,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,20,4,210.871,18033.6,20688.3,23140,0,0,0,7102.5,40.2495,18350,19630.3,171.52,1.48,2,2,0.2,12,13,13,0,101.218,1.92308,12,0,0,3.77453,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,20,4,207.553,16689.6,24746.5,27872.9,0,0,0,5700.04,50,12852.7,21535.2,171.52,1.48,2,2,0.2,12,13,13,0,99.6256,1.92308,12,0,0,0.654029,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,20,4,316.657,10658.4,18730.5,20930.5,0,0,0,1186.33,41.2295,74.5087,119.853,170.92,2.08,4,1638,0.0243902,7,8,8,0,88.664,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,20,4,416.424,6871.21,15031.3,18574.1,0,0,0,7199.04,48.3125,5307.41,5811.14,168.32,4.68,9,9,0.0486486,2,3,3,0,33.3139,8.33333,2,0,0,4.24112,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,20,4,461.404,6668.92,16183.4,16290.3,0,0,0,7069.62,35.25,2999.97,7915.12,168.32,4.68,9,9,0.0486486,2,3,3,0,36.9123,8.33333,2,0,0,0.631498,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,20,4,273.826,0,0,0,11725.8,16848.8,16855.6,1167.25,40.5835,12909.2,15885.3,174.44,0,0,0,0.4,7,7,7,0,76.6712,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,21,4,314.718,11751.5,19262.1,22693.3,0,0,0,1175.08,35.979,67.1956,119.735,170.92,2.08,4,1638,0.0243902,7,8,8,0,88.1211,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,21,4,425.846,7489.75,14504.9,16965.2,0,0,0,6761.96,39.854,9788.82,12394.3,168.32,4.68,9,9,0.0486486,2,3,3,0,34.0677,8.33333,2,0,0,4.2542,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
stable-group,random,21,4,316.672,0,0,0,10773.5,11636.2,13302.3,1034.71,27.854,9761.12,10225.9,174.44,0,0,0,0.4,7,7,7,0,88.6681,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,21,4,96.4006,3534.19,5051.72,5186.18,48728.1,55851,55868,1157.33,39.937,48501.1,53205.4,173.8,0.4,4,9,0.0243902,22,22,22,0,84.8326,1.13636,16,0,0,2.53086,1,5.464,0,0,0,0,0,0,1,1,1
exchange-random,random,21,4,460.867,6031.25,17838,18101.7,0,0,0,6078.42,41.437,7262.89,13827.8,168.32,4.68,9,9,0.0486486,2,3,3,0,36.8693,8.33333,2,0,0,0.820447,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,21,4,210.393,16834.1,26346,30881.2,0,0,0,6658.42,38.417,15842.8,23518.7,171.52,1.48,2,2,0.2,12,13,13,0,100.989,1.92308,12,0,0,3.78936,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,21,4,162.968,20891.1,37301.5,42413.6,0,0,0,7174.62,56.292,20059.1,37493.8,171.52,1.48,2,2,0.2,12,13,13,0,78.2248,1.92308,12,0,0,1.34771,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,21,4,272.518,14311.8,20768,21088.6,0,0,0,7136.67,44.6255,10771.1,16713.6,170.56,2.44,4,4,0.0243902,6,7,7,0,65.4043,3.57143,6,0,0,1.19759,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,22,4,145.106,3705.92,5482.72,5643.88,29777.8,37702.1,39042.6,1174.83,51.0415,13113.4,33620,173.8,0.4,4,9,0.0243902,22,22,22,0,127.693,1.13636,16,0,0,2.53086,1,6.012,0,0,0,0,0,0,1,1,1
strict-random,random,22,4,169.412,20755,34233.7,38160.8,0,0,0,8625.12,53.8125,14911.1,19120.1,171.52,1.48,2,2,0.2,12,13,13,0,81.318,1.92308,12,0,0,0.872958,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,22,4,200.208,18525.7,27654.5,29373.7,0,0,0,7037.42,41.4585,17319,17812.6,171.52,1.48,2,2,0.2,12,13,13,0,96.0998,1.92308,12,0,0,3.73222,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,22,4,227.062,0,0,0,12959.4,23885.1,23902.5,1173,48.5835,13384.7,21167,174.44,0,0,0,0.4,7,7,7,0,63.5774,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,22,4,471.141,6358.96,14949.9,15112.7,0,0,0,6249.25,38.875,4826.06,8426.58,168.32,4.68,9,9,0.0486486,2,3,3,0,37.6913,8.33333,2,0,0,4.24021,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,22,4,515.056,5913.79,11443.3,11507.7,0,0,0,7359.38,34.3125,7608.95,10456.9,168.32,4.68,9,9,0.0486486,2,3,3,0,41.2044,8.33333,2,0,0,1.18331,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
fixed-time,random,22,4,313.048,11779.4,16973.3,19144.5,0,0,0,802.375,46.604,96.2481,27290.4,170.92,2.08,4,1638,0.0243902,7,8,8,0,87.6534,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,22,4,237.415,14336.4,22328.8,23839.2,0,0,0,6487.04,51.8335,14466.5,17481.9,170.56,2.44,4,4,0.0243902,6,7,7,0,56.9796,3.57143,6,0,0,0.780919,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,23,4,461.65,7207.08,14526.1,14758.2,0,0,0,6292.79,33.229,8082.82,12824.7,168.32,4.68,9,9,0.0486486,2,3,3,0,36.932,8.33333,2,0,0,4.25195,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
stable-group,random,23,4,318.2,0,0,0,10881.8,13782.7,13797.8,1159.92,25.2705,9656.67,11831.4,174.44,0,0,0,0.4,7,7,7,0,89.0961,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,23,4,221.738,17310.4,22018.3,23001.2,0,0,0,6677.92,49.646,16714,19065.8,171.52,1.48,2,2,0.2,12,13,13,0,106.434,1.92308,12,0,0,3.44925,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,23,4,99.14,3495.29,5064.4,5204.18,51749.1,61851.6,61874.8,898.708,48.3125,17841.2,47899.5,173.8,0.4,4,9,0.0243902,22,22,22,0,87.2432,1.13636,16,0,0,2.7033,1,5.336,0,0,0,0,0,0,1,1,1
fixed-count,random,23,4,295.458,11761,17127.7,20654.6,0,0,0,7292.88,33.9995,10986.9,14946.2,170.56,2.44,4,4,0.0243902,6,7,7,0,70.9099,3.57143,6,0,0,0.393736,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,23,4,172.492,18942.5,34271.3,36700.3,0,0,0,4314.83,36.6255,22662.6,33925.2,171.52,1.48,2,2,0.2,12,13,13,0,82.7959,1.92308,12,0,0,0.644095,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,23,4,488.103,6467.79,12624.8,12792.8,0,0,0,6307.17,29.979,8149.57,11102.6,168.32,4.68,9,9,0.0486486,2,3,3,0,39.0482,8.33333,2,0,0,0.798071,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,23,4,360.28,9382,16716.6,19370.9,0,0,0,1172.08,34.604,53.5687,66.1877,170.92,2.08,4,1638,0.0243902,7,8,8,0,100.878,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,24,4,473.64,6321.75,14625.9,14817,0,0,0,7344.96,36.75,7233.11,12649.7,168.32,4.68,9,9,0.0486486,2,3,3,0,37.8912,8.33333,2,0,0,4.2312,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-random,random,24,4,450.66,7215.71,13220.6,13277.6,0,0,0,5550.71,52.5835,2969.98,8801.93,168.32,4.68,9,9,0.0486486,2,3,3,0,36.0528,8.33333,2,0,0,1.26934,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
