case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
strict-random,random,2,4,191.311,19816.2,32293.5,34305.9,0,0,0,8054.38,42.9165,12159.3,18823.3,171.52,1.48,2,2,0.2,12,13,13,0,91.8293,1.92308,12,0,0,0.858835,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,2,4,458.864,7346.92,13956.4,14476.5,0,0,0,6436.67,47.4375,7753.97,12517.4,168.32,4.68,9,9,0.0486486,2,3,3,0,36.7091,8.33333,2,0,0,4.26163,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-hot-guard,hot,3,4,105.397,3578.98,5308.95,5455.29,48720.3,50631.4,50648.3,1165.79,46.229,2076.82,34526.1,173.8,0.4,4,9,0.0243902,22,22,22,0,92.7495,1.13636,16,0,0,2.7033,1,5.588,0,0,0,0,0,0,1,1,1
fixed-time,random,3,4,286.885,12509.9,23994.5,25711.9,0,0,0,1159.79,51.0625,71.2373,63151.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,80.3278,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,3,4,423.554,7426.67,13478.3,13794.9,0,0,0,6643.38,37.375,6464.02,9167.94,168.32,4.68,9,9,0.0486486,2,3,3,0,33.8843,8.33333,2,0,0,1.53549,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
exchange-hot,hot,3,4,486.522,5741.62,15212,15278.5,0,0,0,6963.5,28.771,6973.93,11882.4,168.32,4.68,9,9,0.0486486,2,3,3,0,38.9217,8.33333,2,0,0,4.22593,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
fixed-count,random,3,4,355.871,10209.7,13901.9,14011.2,0,0,0,7206.58,31.7085,9638.92,11091.5,170.56,2.44,4,4,0.0243902,6,7,7,0,85.409,3.57143,6,0,0,1.60788,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,3,4,286.082,0,0,0,11833,17779.4,17789.4,1163.29,49.396,10582.3,10967,174.44,0,0,0,0.4,7,7,7,0,80.1029,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,3,4,235.856,16715.5,18930.5,18995.2,0,0,0,6458.92,55.9795,7279.8,17445.6,171.52,1.48,2,2,0.2,12,13,13,0,113.211,1.92308,12,0,0,3.76156,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,3,4,223.388,16852.1,23484.1,26168.5,0,0,0,7717.33,32.5835,14782.5,16908.4,171.52,1.48,2,2,0.2,12,13,13,0,107.226,1.92308,12,0,0,1.71869,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
