case,workload,repetition,query,M,L,delta_positive,amplification,pre_recall,post_recall,answer_churn,durable_overlap,lost_ids_subset_weak,durable_fingerprint_equal
fixed-time,random,0,4,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,5,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,6,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,7,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,8,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,9,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,10,0,0,0,0,1,1,0,1,1,1
fixed-time,random,0,11,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,0,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,1,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,2,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,3,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,4,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,5,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,6,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,7,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,8,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,9,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,10,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,1,11,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,0,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,1,1,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,2,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,3,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,4,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,1,5,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,6,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,7,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,8,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,1,9,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,10,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,1,11,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,0,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,1,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,2,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,3,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,4,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,5,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,6,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-random,random,1,7,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,8,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,9,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,10,0,0,0,0,1,1,0,1,1,1
strict-random,random,1,11,0,0,0,0,1,1,0,1,1,1
exchange-hot,hot,1,0,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,1,1,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,2,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,3,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,4,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,1,5,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,6,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,7,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,8,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,1,9,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,10,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,1,11,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
stable-group,random,1,0,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,1,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,2,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,3,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,4,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,5,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,6,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,7,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,8,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,9,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,10,0,0,0,0,1,1,0,1,1,1
stable-group,random,1,11,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,0,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,1,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,2,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,3,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,4,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,5,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,6,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,7,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,8,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,9,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,10,0,0,0,0,1,1,0,1,1,1
fixed-time,random,1,11,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,0,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,1,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,2,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,3,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,4,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,5,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,6,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
fixed-count,random,1,7,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,8,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,9,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,10,0,0,0,0,1,1,0,1,1,1
fixed-count,random,1,11,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,0,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,1,1,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,2,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,3,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,4,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,5,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,6,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,1,7,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,8,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,1,9,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,1,10,0,0,0,0,1,1,0,1,1,1
exchange-random,random,1,11,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
stable-group,random,2,0,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,1,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,2,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,3,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,4,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,5,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,6,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,7,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,8,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,9,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,10,0,0,0,0,1,1,0,1,1,1
stable-group,random,2,11,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,0,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,2,1,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,2,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,3,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,4,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,2,5,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,6,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,7,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,8,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,2,9,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,10,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,2,11,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,0,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,1,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,2,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
fixed-count,random,2,4,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,5,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,6,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,7,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,8,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,9,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,10,0,0,0,0,1,1,0,1,1,1
fixed-count,random,2,11,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,0,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,1,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,2,2,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,2,4,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,5,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,2,6,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,7,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,2,8,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,9,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,10,0,0,0,0,1,1,0,1,1,1
exchange-random,random,2,11,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-hot-guard,hot,2,0,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,1,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,2,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,3,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,4,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,5,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,6,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,7,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,8,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,9,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,10,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,2,11,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,0,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,1,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,2,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,3,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,4,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,5,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,6,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,7,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,8,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,9,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,10,0,0,0,0,1,1,0,1,1,1
fixed-time,random,2,11,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,0,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,1,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,2,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-random,random,2,4,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,5,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,6,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,7,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,8,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,9,0,0,0,0,1,1,0,1,1,1
