case,workload,repetition,query,M,L,delta_positive,amplification,pre_recall,post_recall,answer_churn,durable_overlap,lost_ids_subset_weak,durable_fingerprint_equal
strict-random,random,2,10,0,0,0,0,1,1,0,1,1,1
strict-random,random,2,11,0,0,0,0,1,1,0,1,1,1
exchange-hot,hot,2,0,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,2,1,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,2,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,3,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,4,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,2,5,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,6,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,7,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,8,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,2,9,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,10,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,2,11,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot-guard,hot,3,0,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,1,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,2,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,3,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,4,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,5,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,6,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,7,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,8,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,9,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,10,0,0,0,0,1,1,0,1,1,1
exchange-hot-guard,hot,3,11,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,0,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,1,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,2,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,3,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,4,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,5,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,6,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,7,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,8,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,9,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,10,0,0,0,0,1,1,0,1,1,1
fixed-time,random,3,11,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,0,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,1,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,2,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,3,3,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,3,4,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,5,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,3,6,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,7,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,3,8,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,9,0,0,0,0,1,1,0,1,1,1
exchange-random,random,3,10,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-random,random,3,11,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-hot,hot,3,0,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,3,1,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,2,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,3,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,4,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,3,5,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,6,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,7,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,8,0.3,0.3,0.3,5.55112e-17,1,0.7,0.3,1,1,1
exchange-hot,hot,3,9,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,10,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
exchange-hot,hot,3,11,0.2,0.2,0.2,0,1,0.8,0.2,1,1,1
fixed-count,random,3,0,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,1,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,2,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
fixed-count,random,3,4,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,5,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,6,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,7,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,8,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,9,0,0,0,0,1,1,0,1,1,1
fixed-count,random,3,10,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
fixed-count,random,3,11,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,0,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,1,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,2,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,3,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,4,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,5,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,6,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,7,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,8,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,9,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,10,0,0,0,0,1,1,0,1,1,1
stable-group,random,3,11,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,0,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,3,1,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,2,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,3,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,4,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,3,5,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,6,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,7,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,8,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-hot,hot,3,9,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,10,0,0,0,0,1,1,0,1,1,1
strict-hot,hot,3,11,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,0,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,1,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,2,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-random,random,3,4,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,5,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,6,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,7,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,8,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,9,0,0,0,0,1,1,0,1,1,1
strict-random,random,3,10,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
strict-random,random,3,11,0,0,0,0,1,1,0,1,1,1
exchange-random,random,4,0,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,4,1,0,0,0,0,1,1,0,1,1,1
exchange-random,random,4,2,0,0,0,0,1,1,0,1,1,1
exchange-random,random,4,3,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,4,4,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,4,5,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
