case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,2,100,9003,4,308.172,0,0,0,11788.2,11944,11945.1,1152.67,11.3545,10110.4,10735.9,174.44,0,0,0,0.4,7,7,7,0,86.2882,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,2,100,45003,4,252.066,15075.5,17821.7,17870,0,0,0,5750.12,11.5,11838.9,14383.1,171.52,1.48,2,2,0.2,12,13,13,0,120.992,1.92308,12,0,0,3.22414,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,2,117,9003,4,361.208,10401.9,15386.5,15474.3,0,0,0,6024.29,12.4795,5838.09,9013.54,170.56,2.44,4,4,0.0243902,6,7,7,0,86.69,3.57143,6,0,0,0.777471,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-random,random,2,117,9003,4,483.087,6203.42,13742.6,13815.7,0,0,0,5997.29,11.8745,7660.98,12109.3,168.32,4.68,9,9,0.0486486,2,3,3,0,38.6469,8.33333,2,0,0,1.06882,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,2,117,45003,4,166.585,3614.31,5335.46,5483.83,25877.1,32777.4,34142.2,1140.12,11.6875,25082.2,28245.1,173.8,0.4,4,9,0.0243902,22,22,22,0,146.595,1.13636,16,0,0,2.7033,1,5.57,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,2,100,9003,4,351.493,10328.8,16652.4,16993.8,0,0,0,1144.12,11.5415,23.1703,52319.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,98.418,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,2,117,9003,4,246.718,16526.8,18677.7,18821.1,0,0,0,7618.29,11.5415,14079.3,16433.7,171.52,1.48,2,2,0.2,12,13,13,0,118.425,1.92308,12,0,0,0.74116,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,2,100,45003,4,541.793,5889.46,10441.9,10507.9,0,0,0,6829.75,11.6875,4696.04,7490.15,168.32,4.68,9,9,0.0486486,2,3,3,0,43.3435,8.33333,2,0,0,4.20551,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,3,100,45004,4,166.479,3199.94,4815.26,4964.75,27800.5,32189.3,33302.9,1144.42,10.0835,24117.8,26029.4,173.8,0.4,4,9,0.0243902,22,22,22,0,146.501,1.13636,16,0,0,2.7033,1,5.064,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,3,117,9004,4,319.263,12116.8,18495.6,19300.2,0,0,0,1140,9.2085,25.7705,41.8585,170.92,2.08,4,1638,0.0243902,7,8,8,0,89.3937,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
