case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,28,stable,12805.459000000001,1048605,1048608,1048608,192,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,29,stable,12793.125,1048606,1048608,1048608,192,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,30,stable,12777.916999999999,1048607,1048608,1048608,192,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,31,stable,12747.875,1048608,1048608,1048608,192,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,32,stable,10904.25,1048609,1048612,1048612,196,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,33,stable,10890.166999999999,1048610,1048612,1048612,196,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,34,stable,10875,1048611,1048612,1048612,196,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,35,stable,10855.791999999999,1048612,1048612,1048612,196,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,36,stable,10799.166999999999,1048613,1048616,1048616,200,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,37,stable,10788.040999999999,1048614,1048616,1048616,200,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,38,stable,10759.958000000001,1048615,1048616,1048616,200,0,0,0.29999999999999999
