case,repetitions,crash_observations,writes_per_s_min,writes_per_s_median,writes_per_s_max,weak_p50_ms_min,weak_p50_ms_median,weak_p50_ms_max,stable_p50_ms_min,stable_p50_ms_median,stable_p50_ms_max,query_p95_ms_min,query_p95_ms_median,query_p95_ms_max,max_W,timed_syncs_min,timed_syncs_median,timed_syncs_max,total_syncs_min,total_syncs_median,total_syncs_max,mean_delta_positive,image_mean_delta_min,image_mean_delta_median,image_mean_delta_max,max_delta_positive,max_M,max_amplification,stable_losses,weak_survivors,cap_overshoots,alarm,max_L,L_lt_M_observations,L_lt_M_images,exposed_weak_records,surviving_weak_records,lost_weak_records
stable-group,30,360,267.593,326.268,356.136,0,0,0,9.9155,10.84795,12.9145,4.34383,9.637965,12.4556,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strict-random,30,360,214.688,250.6045,270.828,13.7804,15.7425,18.9642,0,0,0,4.26488,13.3407,17.1163,2,12,12,12,13,13,13,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.2,0.2,0,0,0,0,0,0.2,0,0,60,0,60
strict-hot,30,360,199.543,251.891,277,14.6729,15.6494,19.8035,0,0,0,10.6597,14.25715,16.9953,2,12,12,12,13,13,13,0,0,0,0,0,0.2,0,0,0,0,0,0,90,30,60,60,0
exchange-random,30,360,446.345,493.3215,558.447,5.42492,6.18275,7.74642,0,0,0,2.32715,6.374585,8.83928,9,2,2,2,3,3,3,0.0513888888889,0.0166666666667,0.05,0.0833333333333,0.3,0.3,5.55112e-17,0,0,0,0,0.3,0,0,270,0,270
exchange-hot,30,360,466.337,510.694,587.006,5.04046,5.910875,7.88608,0,0,0,1.78122,5.588525,8.27487,9,2,2,2,3,3,3,0.225,0.225,0.225,0.225,0.3,0.3,5.55112e-17,0,0,0,0,0.3,0,0,270,0,270
exchange-hot-guard,30,360,137.252,163.202,172.157,2.8976,3.4156,3.82548,25.7555,26.90545,33.7797,0.0405583,24.84795,28.498,4,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
