case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
stable-group,random,0,100,9001,query,21,,39.917,,1048591,1048591,175,0,0,0,1048591,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,22,,36.5,,1048591,1048591,179,0,0,0,1048591,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,23,,72.708,,1048595,1048595,179,0,0,0,1048595,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,24,,40.167,,1048595,1048595,179,0,0,0,1048595,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,25,,41.375,,1048595,1048595,179,0,0,0,1048595,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,26,,32.25,,1048595,1048595,179,0,0,0,1048595,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,27,,32.625,,1048595,1048595,179,0,0,0,1048595,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,28,,13601.5,,1048599,1048599,183,0,0,0,1048599,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,29,,35.542,,1048599,1048599,183,0,0,0,1048599,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,30,,40.583,,1048599,1048599,183,0,0,0,1048599,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,31,,35.541,,1048599,1048599,183,0,0,0,1048599,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,cleanup-fence,0,stable,1181.29,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,0,weak,1496.54,1048577,1048577,160,160,1,4,0.00621118,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,1,weak,3842.71,1048578,1048578,160,160,2,4,0.0123457,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,2,weak,6220.21,1048579,1048579,160,160,3,4,0.0184049,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,3,weak,8408.67,1048580,1048580,160,160,4,4,0.0243902,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,4,weak,16542.1,1048581,1048581,1048580,164,1,4,0.00606061,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,5,weak,16693.2,1048582,1048582,1048580,164,2,4,0.0120482,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,6,weak,16808,1048583,1048583,1048580,164,3,4,0.0179641,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,7,weak,17176,1048584,1048584,1048580,164,4,4,0.0238095,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,8,weak,17842.7,1048585,1048585,1048584,168,1,4,0.00591716,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,9,weak,17597.1,1048586,1048586,1048584,168,2,4,0.0117647,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,10,weak,17230.3,1048587,1048587,1048584,168,3,4,0.0175439,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,11,weak,17006.8,1048588,1048588,1048584,168,4,4,0.0232558,,,,terminal-unfenced-suffix,,-1
