case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,32,stable,12909.833000000001,1048609,1048612,1048612,196,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,33,stable,12909.791999999999,1048610,1048612,1048612,196,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,34,stable,12890.334000000001,1048611,1048612,1048612,196,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,35,stable,12844.084000000001,1048612,1048612,1048612,196,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,36,stable,10805.208000000001,1048613,1048616,1048616,200,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,37,stable,10809.290999999999,1048614,1048616,1048616,200,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,38,stable,10762.125,1048615,1048616,1048616,200,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,39,stable,10740.5,1048616,1048616,1048616,200,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,40,stable,9842.6669999999995,1048617,1048620,1048620,204,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,41,stable,9843.875,1048618,1048620,1048620,204,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,42,stable,9832.9159999999993,1048620,1048620,1048620,204,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,43,stable,9818.7919999999995,1048619,1048620,1048620,204,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,44,stable,11812.916999999999,1048621,1048624,1048624,208,0,0,0.10000000000000001
