case,repetitions,crash_observations,writes_per_s_min,writes_per_s_median,writes_per_s_max,weak_p50_ms_min,weak_p50_ms_median,weak_p50_ms_max,stable_p50_ms_min,stable_p50_ms_median,stable_p50_ms_max,query_p95_ms_min,query_p95_ms_median,query_p95_ms_max,max_W,timed_syncs_min,timed_syncs_median,timed_syncs_max,total_syncs_min,total_syncs_median,total_syncs_max,mean_delta_positive,image_mean_delta_min,image_mean_delta_median,image_mean_delta_max,max_delta_positive,max_M,max_amplification,stable_losses,weak_survivors,cap_overshoots,alarm,max_L,L_lt_M_observations,L_lt_M_images,exposed_weak_records,surviving_weak_records,lost_weak_records
stable-group,30,360,148.69,185.9705,308.278,0,0,0,11.8037,18.8275,25.8134,0.155294,17.33215,27.3753,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strict-random,30,360,108.423,144.103,212.655,17.7373,26.8416,37.3931,0,0,0,4.46899,26.4013,38.2021,2,12,12,12,13,13,13,0.00722222222222,0,0.00833333333333,0.0166666666667,0.1,0.1,0,0,0,0,0,0.1,0,0,30,0,30
strict-hot,30,360,115.061,140.0565,242.056,16.4969,27.0527,34.6108,0,0,0,0.250379,25.2765,37.3445,2,12,12,12,13,13,13,0,0,0,0,0,0.2,0,0,0,0,0,0,90,30,60,60,0
exchange-random,30,360,145.75,278.578,429.152,8.09046,12.22145,21.4497,0,0,0,0.169969,10.62625,24.5736,9,2,2,2,3,3,3,0.0513888888889,0.0166666666667,0.05,0.0833333333333,0.3,0.3,5.55112e-17,0,0,0,0,0.3,0,0,270,0,270
exchange-hot,30,360,203.846,268.7255,487.086,6.44688,11.99375,19.4863,0,0,0,3.88948,11.2323,19.8669,9,2,2,2,3,3,3,0.225,0.225,0.225,0.225,0.3,0.3,5.55112e-17,0,0,0,0,0.3,0,0,270,0,270
exchange-hot-guard,30,360,72.4419,91.06135,149.389,1.68925,5.54073,9.30456,32.7471,49.83605,59.7632,0.202475,37.48995,58.8919,4,22,22,25,22,22,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
