case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,2,100,9003,4,223.068,0,0,0,16798.9,18836.4,18858.2,1093.17,74.6665,15680,17151,174.44,0,0,0,0.4,7,7,7,0,62.4591,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,2,100,45003,4,121.298,31574.8,41029.1,41502.7,0,0,0,10500.8,70.229,34586.9,38568.2,171.52,1.48,2,2,0.2,12,13,13,0,58.223,1.92308,12,0,0,3.10683,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,2,117,9003,4,201.116,19129,24248.7,24287.9,0,0,0,8226.38,61.208,18048.1,20034.5,170.56,2.44,4,4,0.0243902,6,7,7,0,48.2678,3.57143,6,0,0,1.08316,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-random,random,2,117,9003,4,223.757,16668.9,25971.6,26343.8,0,0,0,8224.96,62.458,18975.5,23771.5,168.32,4.68,9,9,0.0486486,2,3,3,0,17.9005,8.33333,2,0,0,0.773014,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,2,117,45003,4,72.4419,6899.15,10581.9,10898.2,58161.8,91644.3,91659,1165.96,60.729,53771.7,79480.6,173.8,0.4,4,9,0.0243902,22,22,22,0,63.7489,1.13636,16,0,0,2.30986,1,11.502,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,2,100,9003,4,203.076,18799.8,26543.9,31059.6,0,0,0,1224.17,63.104,92.7785,401.974,170.92,2.08,4,1638,0.0243902,7,8,8,0,56.8612,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,2,117,9003,4,132.585,28815.5,37592,38634.3,0,0,0,8243.12,72.8755,7251.7,25395.4,171.52,1.48,2,2,0.2,12,13,13,0,63.641,1.92308,12,0,0,0.454246,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,2,100,45003,4,247.202,12486.8,28573.6,28760.2,0,0,0,7658.33,74.667,15117,24980.4,168.32,4.68,9,9,0.0486486,2,3,3,0,19.7761,8.33333,2,0,0,4.27371,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,3,100,45004,4,91.5786,7477,10519.2,10776.2,48929.4,61675.3,61719.6,1179.92,75.3125,47252.9,56961.9,173.8,0.4,4,9,0.0243902,22,22,22,0,80.5892,1.13636,16,0,0,2.7033,1,10.969,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,3,117,9004,4,179.671,21798.4,29179.9,32279.8,0,0,0,1209.75,62.75,129.169,101183,170.92,2.08,4,1638,0.0243902,7,8,8,0,50.3079,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,3,100,9004,4,233.872,14691.8,27082.8,27370.3,0,0,0,8674.38,72.0205,169.969,13450.3,168.32,4.68,9,9,0.0486486,2,3,3,0,18.7097,8.33333,2,0,0,1.54808,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,3,117,45004,4,241.422,13541.8,24207.6,24329.1,0,0,0,7191.75,59.521,17942.6,21830.3,168.32,4.68,9,9,0.0486486,2,3,3,0,19.3137,8.33333,2,0,0,4.28429,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,3,100,9004,4,187.195,18636.1,36604.7,37548.6,0,0,0,8412.79,79.271,3915.37,19113.8,170.56,2.44,4,4,0.0243902,6,7,7,0,44.9269,3.57143,6,0,0,1.34833,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
stable-group,random,3,117,9004,4,148.69,0,0,0,25813.4,29787.2,29788.6,1190.04,76.7085,14587.4,24218.2,174.44,0,0,0,0.4,7,7,7,0,41.6331,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,3,117,45004,4,235.523,16597.2,19715.3,19994.4,0,0,0,7853.75,13.104,13829.8,17813.3,171.52,1.48,2,2,0.2,12,13,13,0,113.051,1.92308,12,0,0,3.72272,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
