case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,2,100,9003,4,283.693,0,0,0,13794.9,13901.9,13907.2,1164.88,34.979,12704.7,12829.3,174.44,0,0,0,0.4,7,7,7,0,79.4339,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,2,100,45003,4,175.585,20085.7,31473.4,33516.4,0,0,0,11391.6,46.25,21469.1,27031.9,171.52,1.48,2,2,0.2,12,13,13,0,84.2806,1.92308,12,0,0,3.56379,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,2,117,9003,4,289.054,13625,17583.7,18004.7,0,0,0,10296.6,47.8955,13317.3,13728.4,170.56,2.44,4,4,0.0243902,6,7,7,0,69.373,3.57143,6,0,0,0.975052,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-random,random,2,117,9003,4,438.874,6731.5,14890.3,14948.9,0,0,0,6947.67,58.8125,8604.87,13453.8,168.32,4.68,9,9,0.0486486,2,3,3,0,35.1099,8.33333,2,0,0,0.919596,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,2,117,45003,4,151.907,3574.69,5292.65,5440.2,29009.2,32721.7,34001.9,1163.71,43.479,27844.4,29045.4,173.8,0.4,4,9,0.0243902,22,22,22,0,133.678,1.13636,16,0,0,2.30986,1,5.772,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,2,100,9003,4,218.632,18674.4,25073.7,28361.1,0,0,0,1181.92,53.646,87.7498,83997.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,61.2169,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,2,117,9003,4,174.275,20260.9,38848.2,42626.3,0,0,0,5920.96,45.021,11058.8,32478.7,171.52,1.48,2,2,0.2,12,13,13,0,83.6519,1.92308,12,0,0,0.656669,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,2,100,45003,4,401.569,8005.5,14241.6,15545.7,0,0,0,6857.46,43.646,2854.73,9711.7,168.32,4.68,9,9,0.0486486,2,3,3,0,32.1255,8.33333,2,0,0,4.25118,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,3,100,45004,4,110.313,4083.83,6100.34,6277.4,42189.8,48669.1,48671.1,1193.5,30.8125,38171,45106.6,173.8,0.4,4,9,0.0243902,22,22,22,0,97.0756,1.13636,16,0,0,2.7033,1,6.437,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,3,117,9004,4,197.133,18760.4,27296,32668.5,0,0,0,1180.04,43.4375,64.908,75.146,170.92,2.08,4,1638,0.0243902,7,8,8,0,55.1973,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
