metric,d,mode,median,min,max
fsync_floor,128,plain_n10000,20726.4,20388.7,25729.5
perwrite_qps,128,plain_n10000,204.623,197.031,210.009
perwrite_p50,128,plain_n10000,4089.67,4058.71,4117.12
perwrite_p99,128,plain_n10000,26925,26635.5,27748.4
perwrite_max,128,plain_n10000,40164.5,39752.7,49881.8
gc_qps_b1,128,plain_n10000,202.551,202.322,205.43
gc_qps_b10,128,plain_n10000,218.902,208.105,227.678
gc_qps_b50,128,plain_n10000,219.893,210.512,223.132
gc_qps_b200,128,plain_n10000,221.162,213.367,222.042
gc_qps_b1000,128,plain_n10000,214.698,213.557,236.515
gc_qps_b10000,128,plain_n10000,215.191,208.978,219.551
sealed_ms_n1000,128,plain_n10000,0,0,0
sealed_ms_n3000,128,plain_n10000,0,0,0
sealed_ms_n6000,128,plain_n10000,0,0,0
mutable_ms_n1000,128,plain_n10000,0,0,0
mutable_ms_n3000,128,plain_n10000,0,0,0
mutable_ms_n6000,128,plain_n10000,0,0,0
seal_create_ms_n1000,128,plain_n10000,0,0,0
seal_create_ms_n3000,128,plain_n10000,0,0,0
seal_create_ms_n6000,128,plain_n10000,0,0,0
