metric,d,mode,median,min,max
fsync_floor,128,full_n30000,317.037,309.567,321.915
perwrite_qps,128,full_n30000,76.5809,73.4899,77.5214
perwrite_p50,128,full_n30000,11306.8,11216.9,12007.7
perwrite_p99,128,full_n30000,51069.5,50056.3,51361.2
perwrite_max,128,full_n30000,88332.4,66872.7,264214
gc_qps_b1,128,full_n30000,72.0912,2.8464,76.3039
gc_qps_b10,128,full_n30000,141.42,133.99,182.578
gc_qps_b50,128,full_n30000,156.224,155.439,157.136
gc_qps_b200,128,full_n30000,160.304,146.423,187.335
gc_qps_b1000,128,full_n30000,162.244,157.744,164.484
gc_qps_b30000,128,full_n30000,157.161,156.058,158.465
sealed_ms_n1000,128,full_n30000,0,0,0
sealed_ms_n3000,128,full_n30000,0,0,0
sealed_ms_n6000,128,full_n30000,0,0,0
mutable_ms_n1000,128,full_n30000,0,0,0
mutable_ms_n3000,128,full_n30000,0,0,0
mutable_ms_n6000,128,full_n30000,0,0,0
seal_create_ms_n1000,128,full_n30000,0,0,0
seal_create_ms_n3000,128,full_n30000,0,0,0
seal_create_ms_n6000,128,full_n30000,0,0,0
