ef_search,recall_at_10,qps,p50_us,p99_us
10,0.7696,22190.3,43.6,72.2
16,0.8478,16464.2,60.0,95.7
24,0.9014,12504.9,80.5,118.1
32,0.9310,10114.1,101.0,139.0
48,0.9619,7411.0,139.7,178.6
64,0.9766,5851.4,177.6,223.0
100,0.9895,4045.5,257.9,321.0
128,0.9932,3255.3,320.9,407.2
200,0.9971,2239.7,466.4,596.5
256,0.9981,1806.0,576.7,751.2
400,0.9989,1228.0,844.3,1116.4
500,0.9992,1023.0,1014.6,1343.0
